Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2017,YR2017,3.08,..,..,..,..,..,0.28,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2018,YR2018,3.13,..,..,..,..,..,0.28,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2019,YR2019,3.19,..,..,..,..,..,0.28,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2020,YR2020,3.33,..,..,..,..,..,0.3,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2021,YR2021,3.52,0.07,0.11,0.34,0.21,2.34,0.31,0.5
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2022,YR2022,3.92,..,..,..,..,..,0.35,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2023,YR2023,4.27,..,..,..,..,..,0.38,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2024,YR2024,4.39,..,..,..,..,..,0.39,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Food Prices for Nutrition,,,,,,,,,,,,,
Last Updated: 07/31/2025,,,,,,,,,,,,,
