Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2017,YR2017,3.08,..,..,..,..,..,0.28,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2018,YR2018,3.13,..,..,..,..,..,0.28,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2019,YR2019,3.19,..,..,..,..,..,0.28,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2020,YR2020,3.33,..,..,..,..,..,0.3,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2021,YR2021,3.52,0.07,0.11,0.34,0.21,2.34,0.31,0.5
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2022,YR2022,3.92,..,..,..,..,..,0.35,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2023,YR2023,4.27,..,..,..,..,..,0.38,..
Food Prices for Nutrition 4.0,FPN 4.0,Canada,CAN,2024,YR2024,4.39,..,..,..,..,..,0.39,..
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Food Prices for Nutrition,,,,,,,,,,,,,
Last Updated: 07/31/2025,,,,,,,,,,,,,
Code,Indicator Name,Long definition,Source
CoHD_PPP,Cost of a healthy diet in PPP dollars,"The cost of a healthy diet indicator is the cost of purchasing the least expensive locally available foods to meet requirements for energy and food-based dietary guidelines (FBDG) for a representative person within energy balance at 2330 kcal/day. The cost of a healthy diet is converted to international dollars using purchasing power parity (PPP). Data are available for the period from 2017 and 2024. PPP conversion factors are imputed by the FAO for years not available in the WDI database. PPPs are imputed in one or multiple years for the following countries: Angola, Argentina, Aruba, Bermuda, British Virgin Islands, Cayman Islands, Curaçao, Democratic Republic of the Congo, Dominica, Eswatini, Kazakhstan, Lebanon, Liberia, Myanmar, Seychelles, Sint Maarten (Dutch part), Suriname, Tajikistan and Zimbabwe.

For Bahamas, Guyana, Haiti, Iran, Myanmar, Sint Maarten (Dutch Part), and Turks and Caicos Islands, retail food prices were not available from the ICP 2021. As a result, the CoHD for these countries is calculated using data from the ICP 2017.","Adapted from Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor the cost and affordability of a healthy diet globally. Background paper for The State of Food Security and Nutrition in the World 2022. FAO Agricultural Development Economics Working Paper 22-03. Rome, FAO. (https://doi.org/10.4060/cc1169en); and Bai, Y., Conti, V., Herforth, A., Cafiero, C., Ebel, A., Rissanen, M.O., Rosero Moncayo, J. & Masters, W.A. 2024. Methods for monitoring the cost of a healthy diet based on price data from the International Comparison Program. FAO Statistics Division Working Paper. Rome, FAO. (https://doi.org/10.4060/cd3037en)"
CoCA_pov,Affordability of an energy sufficient diet: ratio of cost to the food poverty line,"The ratio of the cost of an energy sufficient diet to the food poverty lines, defined as $1.35/day for low-income countries (63% of the international poverty line of $2.15/day in 2017 PPP$), $2.04/day for lower-middle-income countries (56% of the international poverty line of $3.65/day in 2017 PPP$), $3.15/day for upper-middle-income countries (46% of the international poverty line of $6.85/day in 2017 PPP$), and $11.2/day (46% of the international poverty line of $24.36/day in 2017 PPP$). The percentages (63%, 56%, and 46%) represent the average food expenditure shares in the second quintile of consumers in low-income and lower-middle-income countries, and the first quintile of consumers in upper-middle-and-high-income countries, according to household surveys compiled by the World Bank. Countries' income classifications follow the calendar year of 2021 standard (fiscal year of 2023 of the World Bank), which is the base year of the latest ICP cycle. Data available for 2021.","Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. (https://doi.org/10.4060/cb2431en); Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor the cost and affordability of a healthy diet globally. Background paper for The State of Food Security and Nutrition in the World 2022. FAO Agricultural Development Economics Working Paper 22-03. Rome, FAO. (https://doi.org/10.4060/cc1169en); and Bai, Y., Herforth, A., Cafiero C., Conti V., Rissanen, M.O., Masters, W.A & Rosero Moncayo, J. 2024 Methods for monitoring the affordability of a healthy diet. FAO Statistics Division Working Paper. Rome, FAO. (https://doi.org/10.4060/cd3703en)"
CoCA_fexp,Affordability of an energy sufficient diet: ratio of cost to food expenditures,The ratio of the cost of an energy sufficient diet to total food expenditure per capita per day from national accounts. Data available for 2021.,"Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. (https://doi.org/10.4060/cb2431en); and Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor the cost and affordability of a healthy diet globally. Background paper for The State of Food Security and Nutrition in the World 2022. FAO Agricultural Development Economics Working Paper 22-03. Rome, FAO. (https://doi.org/10.4060/cc1169en)"
CoNA_fexp,Affordability of a nutrient adequate diet: ratio of cost to food expenditures,The ratio of the cost of a nutrient adequate diet to total food expenditure per capita per day from national accounts. Data available for 2021.,"Adapted from Herforth, A., Bai, Y., Venkat, A., Mahrt, K., Ebel, A. & Masters, W.A. 2020. Cost and affordability of healthy diets across and within countries. Background paper for The State of Food Security and Nutrition in the World 2020. FAO Agricultural Development Economics Technical Study No. 9. Rome, FAO. (https://doi.org/10.4060/cb2431en); and Herforth, A., Venkat, A., Bai, Y., Costlow, L., Holleman, C. & Masters, W.A. 2022. Methods and options to monitor the cost and affordability of a healthy diet globally. Background paper for The State of Food Security and Nutrition in the World 2022. FAO Agricultural Development Economics Working Paper 22-03. Rome, FAO. (https://doi.org/10.4060/cc1169en)"
